Code,Name,20201,20202,20203,20211,20212,20213,20221,20222,20223,20231,20232,20233,20241,20242,20243,20251,20252,20253
BIOC,Biochemistry,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK
BISC,Biological Sciences,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS
BITE,Biomedical Implants and Tissue Engineering,,,,,,,,,,,,,,Y DNTR,Y DNTR,,,
BKN,Biokinesiology,Y BKPT,Y BKPT,Y BKPT,Y BKPT,Y BKPT,Y BKPT,Y BKPT,Y BKPT,Y BKPT,Y BKPT,Y BKPT,Y BKPT,Y BKPT,Y BKPT,Y BKPT,Y BKPT,Y BKPT,Y BKPT
BMDD,Biomaterials and Digital Dentistry,,,,,,,,,,,,,,Y DNTR,Y DNTR,,,
BME,Biomedical Engineering,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV
BPMK,Biopharmaceutical Marketing,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR
BPSI,Biopharmaceutical Sciences,,,,,,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR,Y PHAR
BUAD,Business Administration,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS
BUCO,Business Communication,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS
CBG,Cancer Biology & Genomics,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK
CBY,Craniofacial Biology,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR
CE,Civil Engineering,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV
CGSC,Cognitive Science,,,,,,,,,,,,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS
