SCT_ID,CRS_ID,SEM_ID,SCT_TYPE,SCT_REG,SCT_SEATS,SCT_BUILD,SCT_ROOM,SCT_TITLE,SCT_UNITS
10106R,ALI-234,20231,Lecture,11,14,SOS,B41,,
10107R,ALI-234,20231,Lecture,13,14,DMC,208,,
10111R,ALI-235,20231,Lecture,9,10,WPH,204,,
10113D,ALI-235,20231,Lecture,8,10,DCC,B23,,
10114R,ALI-235,20231,Lecture,9,10,DCC,B23,,
10116R,ALI-235,20231,Lecture,9,10,DCC,B23,,
10119R,ALI-242,20231,Lecture,10,14,SOS,B38,,
10122R,ALI-244,20231,Lecture,5,10,DMC,107,,
10123R,ALI-244,20231,Lecture,11,11,DCC,B23,,
10127R,ALI-244,20231,Lecture,10,10,LVL,3Y,,
10131R,ALI-245,20231,Lecture,6,10,THH,117,,
10132R,ALI-245,20231,Lecture,12,12,DCC,B25,,
10133R,ALI-245,20231,Lecture,9,10,DMC,153,,
10134R,ALI-245,20231,Lecture,8,10,DMC,153,,
10137R,ALI-245,20231,Lecture,10,10,LVL,3B,,
10143R,ALI-252,20231,Lecture,9,12,HED,103,,
10144R,ALI-252,20231,Lecture,9,12,DCC,B24,,
10145R,ALI-254,20231,Lecture,9,12,DMC,104,,
10146R,ALI-254,20231,Lecture,9,12,THH,117,,
10150R,ALI-255,20231,Lecture,6,10,THH,217,,
10151R,ALI-255,20231,Lecture,11,12,THH,209,,
10152D,ALI-256,20231,Lecture,7,8,DCC,B24,,
10153D,ALI-256,20231,Lecture,7,8,WPH,204,,
10154D,ALI-270,20231,Lecture,5,8,THH,219,,
10155D,ALI-270,20231,Lecture,7,8,THH,111,,
10157D,ALI-270,20231,Lecture,6,8,THH,109,,
10159D,ALI-271,20231,Lecture,3,3,OFFICE,,,
10160D,ALI-271,20231,Lecture,3,3,OFFICE,,,
10162D,ALI-271,20231,Lecture,3,3,OFFICE,,,
10165D,ALI-274,20231,Lecture,3,8,SOS,B38,,
10166D,ALI-274,20231,Lecture,8,8,DMC,103,,
10170D,ALI-275,20231,Lecture,11,11,THH,111,,
10171D,ALI-275,20231,Lecture,7,8,WPH,204,,
10172D,ALI-275,20231,Lecture,7,8,THH,117,,
10173D,ALI-275,20231,Lecture,7,8,WPH,200,,
10310D,AMST-101,20231,Lecture,148,148,MHP,101,,
10311R,AMST-101,20231,Discussion,24,25,GFS,228,,
10312R,AMST-101,20231,Discussion,25,25,KAP,166,,
10313R,AMST-101,20231,Discussion,25,25,SGM,226,,
10314R,AMST-101,20231,Discussion,24,25,KAP,163,,
10315R,AMST-101,20231,Discussion,25,25,GFS,107,,
10316R,AMST-101,20231,Discussion,25,25,DMC,205,,
10320D,AMST-135,20231,Lecture,139,140,SGM,101,,
10321R,AMST-135,20231,Discussion,19,25,WPH,203,,
10322R,AMST-135,20231,Discussion,21,25,WPH,205,,
10323R,AMST-135,20231,Discussion,25,25,SOS,B47,,
10324R,AMST-135,20231,Discussion,25,25,GFS,220,,
10325R,AMST-135,20231,Discussion,24,25,GFS,220,,
10327R,AMST-135,20231,Discussion,25,26,KAP,141,,
10338D,AMST-150,20231,Lecture,143,150,SAL,101,,
10339R,AMST-150,20231,Discussion,24,24,KAP,167,,
10340R,AMST-150,20231,Discussion,25,25,GFS,229,,
10341R,AMST-150,20231,Discussion,25,25,GFS,104,,
10342R,AMST-150,20231,Discussion,24,25,GFS,108,,
10343R,AMST-150,20231,Discussion,23,25,GFS,108,,
10344R,AMST-150,20231,Discussion,22,25,KAP,159,,
10347D,AMST-200,20231,Lecture,48,49,ZHS,352,,
10348D,AMST-200,20231,Discussion,25,26,DMC,161,,
10349D,AMST-200,20231,Discussion,23,25,DMC,161,,
10359R,AMST-204,20231,Lecture,30,30,SGM,226,,
10360R,AMST-205,20231,Lecture,49,49,ZHS,252,,
10364R,AMST-205,20231,Discussion,25,25,GFS,229,,
10365R,AMST-205,20231,Discussion,24,25,GFS,105,,
10361R,AMST-206,20231,Lecture,23,100,SGM,101,,
10362R,AMST-206,20231,Discussion,4,22,WPH,202,,
10363R,AMST-206,20231,Discussion,6,25,GFS,228,,
10369R,AMST-206,20231,Discussion,9,22,WPH,202,,
10370R,AMST-206,20231,Discussion,4,25,GFS,223,,
10371D,AMST-230,20231,Lecture,28,29,GFS,222,,
10372D,AMST-250,20231,Lecture,103,105,THH,202,,
10373R,AMST-250,20231,Discussion,12,25,DMC,257,,
10375R,AMST-250,20231,Discussion,22,25,GFS,213,,
10376R,AMST-250,20231,Discussion,17,25,KAP,163,,
10377R,AMST-250,20231,Discussion,18,25,KAP,165,,
10378R,AMST-250,20231,Discussion,14,25,GFS,104,,
10380R,AMST-250,20231,Discussion,20,25,GFS,105,,
10390D,AMST-274,20231,Lecture,42,76,SGM,124,,
10392R,AMST-274,20231,Discussion,13,25,GFS,220,,
10393R,AMST-274,20231,Discussion,13,25,GFS,105,,
10395R,AMST-274,20231,Discussion,11,25,THH,110,,
10396R,AMST-274,20231,Discussion,5,25,VHE,210,,
10399D,AMST-285,20231,Lecture,47,50,GFS,101,,
10402R,AMST-285,20231,Discussion,24,25,WPH,B30,,
10403R,AMST-285,20231,Discussion,23,25,DMC,261,,
10408D,AMST-301,20231,Lecture,144,145,THH,202,,
10409R,AMST-301,20231,Discussion,25,25,GFS,104,,
10410R,AMST-301,20231,Discussion,21,25,KAP,167,,
10411R,AMST-301,20231,Discussion,25,25,DMC,109,,
10412R,AMST-301,20231,Discussion,25,25,SGM,226,,
10413R,AMST-301,20231,Discussion,24,25,GFS,213,,
10415D,AMST-301,20231,Discussion,24,25,GFS,105,,
10420D,AMST-305,20231,Lecture,14,19,THH,108,,
10423D,AMST-325,20231,Lecture,49,50,ZHS,252,,
10425R,AMST-325,20231,Discussion,24,25,GFS,229,,
10427R,AMST-325,20231,Discussion,25,25,GFS,220,,
10414D,AMST-330,20231,Lecture,10,19,DMC,158,,
10424D,AMST-350,20231,Lecture,7,30,KAP,145,,
10426D,AMST-365,20231,Lecture,8,8,THH,211,,
10428D,AMST-373,20231,Lecture,7,30,WPH,B30,,
10430D,AMST-378,20231,Lecture,7,19,THH,213,,
10434D,AMST-389,20231,Lecture,12,15,GFS,109,,
10433D,AMST-392,20231,Lecture,9,10,KAP,150,,
10436D,AMST-446,20231,Lecture,14,29,ZHS,360,,
10438D,AMST-449,20231,Lecture,23,29,SGM,601,,
10439D,AMST-452,20231,Lecture,30,30,GFS,207,,
10441D,AMST-490,20231,Lecture,2,15,OFFICE,,,2
10442D,AMST-490,20231,Lecture,0,12,OFFICE,,,1
10443D,AMST-493,20231,Lecture,6,10,KAP,165,,
10466D,AMST-567,20231,Lecture,13,15,GFS,107,,
10468D,AMST-570,20231,Lecture,9,10,GFS,107,,
10478D,AMST-590,20231,Lecture,8,10,OFFICE,,,
10476D,AMST-645,20231,Lecture,5,12,KAP,150,,
10489D,AMST-680,20231,Lecture,11,13,THH,109,,
10492D,AMST-701,20231,Lecture,8,12,DMC,103,,
10493D,AMST-790,20231,Lecture,1,5,OFFICE,,,
10495D,AMST-794A,20231,Lecture,0,10,OFFICE,,,
10496D,AMST-794B,20231,Lecture,6,10,OFFICE,,,
10497D,AMST-794C,20231,Lecture,0,10,OFFICE,,,
10498D,AMST-794D,20231,Lecture,1,10,OFFICE,,,
10499D,AMST-794Z,20231,Lecture,10,20,OFFICE,,,
10719R,ANTH-202,20231,Discussion,24,24,KAP,148,,
10835R,ANTH-202,20231,Discussion,26,26,KAP,148,,
10704R,ANTH-202,20231,Lecture,150,150,THH,201 & ONLINE,,
10705R,ANTH-202,20231,Discussion,20,20,DMC,155,,
10706R,ANTH-202,20231,Discussion,25,25,DMC,155,,
10707R,ANTH-202,20231,Discussion,27,27,SOS,B48,,
10708R,ANTH-202,20231,Discussion,28,28,KAP,166,,
10805R,ANTH-205,20231,Lecture-Discussion,34,33,KAP,148,,
10608R,ANTH-263,20231,Lecture,49,50,GFS,106,,
10609R,ANTH-263,20231,Discussion,25,25,KAP,140,,
10611R,ANTH-263,20231,Discussion,24,25,GFS,220,,
10710R,ANTH-263,20231,Lecture,69,75,THH,301,,
10711D,ANTH-263,20231,Discussion,25,26,DMC,160,,
10712R,ANTH-263,20231,Discussion,24,26,THH,106,,
10713R,ANTH-263,20231,Discussion,20,25,GFS,107,,
10714D,ANTH-263,20231,Discussion,0,0,,,,
10715R,ANTH-273,20231,Lecture,7,25,KAP,147,,
10613D,ANTH-301,20231,Lecture,0,0,,,,
10831R,ANTH-312,20231,Lecture,12,19,DMC,259,,
10617R,ANTH-315,20231,Lecture,99,103,THH,202,,
10619R,ANTH-315,20231,Discussion,26,27,THH,213,,
10620R,ANTH-315,20231,Discussion,26,27,THH,213,,
10621R,ANTH-315,20231,Discussion,26,27,DMC,154,,
10622R,ANTH-315,20231,Discussion,21,22,THH,213,,
10624R,ANTH-321,20231,Lecture,9,25,THH,214,,
10623R,ANTH-325,20231,Lecture,9,25,DMC,109,,
10626R,ANTH-333,20231,Lecture,92,100,THH,202,,
10827R,ANTH-333,20231,Discussion,24,26,THH,B9,,
10828R,ANTH-333,20231,Discussion,23,26,THH,B9,,
10829R,ANTH-333,20231,Discussion,23,23,DMC,257,,
10830R,ANTH-333,20231,Discussion,22,25,DMC,257,,
10732R,ANTH-370,20231,Lecture,21,25,THH,215,,
10633R,ANTH-371,20231,Lecture,111,112,MRF,340,,
10634R,ANTH-371,20231,Discussion,25,25,GFS,107,,
10635R,ANTH-371,20231,Discussion,27,28,GFS,107,,
10636R,ANTH-371,20231,Discussion,28,28,GFS,107,,
10637R,ANTH-371,20231,Discussion,31,31,KAP,147,,
10629R,ANTH-373,20231,Lecture,23,26,KAP,140,,
10632D,ANTH-393,20231,Lecture,1,10,OFFICE,,,
10641D,ANTH-411,20231,Lecture,9,25,KAP,156,,
10761R,ANTH-435,20231,Lecture,8,25,VHE,214,,
10744D,ANTH-445,20231,Lecture,7,25,GFS,104,,
10640D,ANTH-476,20231,Lecture,0,0,,,,
10743D,ANTH-485,20231,Lecture,12,15,KAP,166,,
10643D,ANTH-490,20231,Lecture,2,10,OFFICE,,,
10644D,ANTH-491,20231,Lecture,0,10,OFFICE,,,
10901R,ANTH-501,20231,Lecture,7,15,OFFICE,,,
10903R,ANTH-550,20231,Lecture,3,15,SOS,B51,,
10672R,ANTH-562,20231,Lecture,9,20,KAP,166,,
10647R,ANTH-577,20231,Lecture,11,15,THH,219,,
10648R,ANTH-577,20231,Lab,11,15,KAP,164,,
10649D,ANTH-590,20231,Lecture,0,10,OFFICE,,,
10650D,ANTH-590,20231,Lecture,3,3,OFFICE,,,
10671R,ANTH-605,20231,Lecture,4,15,KAP,140,,
10700D,ANTH-790,20231,Lecture,0,10,OFFICE,,,
59985D,ARCG-305,20231,Lecture,11,13,OFFICE,,,
59986R,ARCG-305,20231,Lab,11,13,OFFICE,,,
59998D,ARCG-490,20231,Lecture,0,10,OFFICE,,,
59999D,ARCG-490,20231,Lecture,1,10,OFFICE,,,
41504D,ARAB-122,20231,Lecture,7,19,WPH,B30,,
41515R,ARAB-152,20231,Lecture,5,19,THH,207,,
41514R,ARAB-152,20231,Lecture,17,19,LVL,3V,,
41528R,ARAB-252,20231,Lecture,4,10,WPH,603,,
41544R,ARAB-352,20231,Lecture,4,5,LVL,3V,,
11800R,AHIS-100,20231,Lecture,72,100,SOS,B2,,
11801R,AHIS-100,20231,Discussion,17,25,DMC,200,,
11802R,AHIS-100,20231,Discussion,12,25,DMC,154,,
11803R,AHIS-100,20231,Discussion,23,25,DMC,209,,
11804R,AHIS-100,20231,Discussion,20,25,DMC,256,,
11818R,AHIS-121,20231,Lecture,86,100,SOS,B2,,
11819R,AHIS-121,20231,Discussion,19,25,DMC,155,,
11820R,AHIS-121,20231,Discussion,22,25,DMC,155,,
11821R,AHIS-121,20231,Discussion,21,25,DMC,206,,
11822R,AHIS-121,20231,Discussion,24,25,DMC,206,,
11838R,AHIS-125,20231,Lecture,17,100,ZHS,159,,
11839R,AHIS-125,20231,Discussion,6,25,DMC,206,,
11840R,AHIS-125,20231,Discussion,1,25,DMC,200,,
11841R,AHIS-125,20231,Discussion,2,25,DMC,109,,
11842R,AHIS-125,20231,Discussion,8,25,DMC,209,,
11863R,AHIS-128,20231,Lecture,45,50,DMC,156,,
11864R,AHIS-128,20231,Discussion,20,25,SOS,B41,,
11865R,AHIS-128,20231,Discussion,25,25,SOS,B41,,
11883D,AHIS-250,20231,Lecture,23,23,DMC,260,,
11908D,AHIS-301,20231,Lecture,20,20,DMC,260,,
11924R,AHIS-322,20231,Lecture,25,30,THH,110,,
11953D,AHIS-364,20231,Lecture,19,20,DMC,260,,
11966R,AHIS-368,20231,Lecture,18,19,DMC,260,,
11971R,AHIS-373,20231,Lecture,15,32,DMC,154,,
11972R,AHIS-373,20231,Discussion,7,25,DMC,109,,
11973R,AHIS-373,20231,Discussion,8,25,DMC,109,,
11988D,AHIS-400,20231,Lecture,0,10,OFFICE,,,
11995D,AHIS-427,20231,Lecture,7,10,THH,107,,
00371R,AHIS-467,20231,Lecture,5,15,OFFCAMPUS,,,
12025D,AHIS-470,20231,Lecture,15,19,OFFICE,,,
12040D,AHIS-488,20231,Lecture,6,19,OFFICE,,,
12042D,AHIS-490,20231,Lecture,2,7,OFFICE,,,
12043D,AHIS-492,20231,Lecture,3,6,OFFICE,,,
12045D,AHIS-494,20231,Lecture,10,19,DMC,259,,
12047D,AHIS-495A,20231,Lecture,0,5,OFFICE,,,
12048D,AHIS-495B,20231,Lecture,3,5,OFFICE,,,
00372R,AHIS-496,20231,Lecture,11,16,OFFCAMPUS,,,
12069D,AHIS-515,20231,Lecture,5,10,THH,308,,
12087D,AHIS-530,20231,Lecture,8,10,THH,308,,
12094D,AHIS-540,20231,Lecture,5,10,THH,308,,
12100D,AHIS-590,20231,Lecture,0,5,OFFICE,,,1
12101D,AHIS-590,20231,Lecture,2,3,OFFICE,,,4
12180D,AHIS-790,20231,Lecture,0,5,OFFICE,,,
12190D,AHIS-794A,20231,Lecture,0,5,OFFICE,,,
12191D,AHIS-794B,20231,Lecture,1,10,OFFICE,,,
12192D,AHIS-794C,20231,Lecture,1,5,OFFICE,,,
12193D,AHIS-794D,20231,Lecture,1,10,OFFICE,,,
12194D,AHIS-794Z,20231,Lecture,7,10,OFFICE,,,
50800R,ASTR-100,20231,Lecture,126,128,SLH,200,,
50802R,ASTR-100,20231,Lab,16,16,SGM,313,,
50803R,ASTR-100,20231,Lab,16,16,SGM,313,,
50804R,ASTR-100,20231,Lab,16,16,SGM,313,,
50805R,ASTR-100,20231,Lab,16,16,SGM,313,,
50806R,ASTR-100,20231,Lab,16,16,SGM,313,,
50807R,ASTR-100,20231,Lab,16,16,SGM,313,,
50808R,ASTR-100,20231,Lab,14,16,SGM,313,,
50809R,ASTR-100,20231,Lab,16,16,SGM,313,,
50801R,ASTR-100,20231,Quiz,126,128,TBA,,,
50810R,ASTR-100,20231,Lecture,17,80,SLH,102,,
50812R,ASTR-100,20231,Lab,10,16,SGM,313,,
50816R,ASTR-100,20231,Lab,7,16,SGM,313,,
50811R,ASTR-100,20231,Quiz,17,128,TBA,,,
50820D,ASTR-104,20231,Lecture-Lab,1,12,TBA,,,
50830R,ASTR-200,20231,Lecture,87,90,SLH,100,,
50832R,ASTR-200,20231,Lab,14,15,SGM,314,,
50833R,ASTR-200,20231,Lab,14,15,SGM,314,,
50834R,ASTR-200,20231,Lab,15,15,SGM,314,,
50835R,ASTR-200,20231,Lab,15,15,SGM,314,,
50836R,ASTR-200,20231,Lab,14,15,SGM,314,,
50837R,ASTR-200,20231,Lab,15,15,SGM,314,,
50844R,ASTR-422,20231,Lecture,6,12,THH,111,,
50850D,ASTR-490,20231,Lecture,0,24,OFFICE,,,2
50855D,ASTR-499,20231,Lecture,0,12,OFFICE,,Cosmic Discoveries from Galileo to the Present Time,4
13000R,BISC-102,20231,Lecture,39,60,ZHS,352,,
13102R,BISC-102,20231,Lab,11,20,ZHS,257,,
13103R,BISC-102,20231,Lab,16,20,ZHS,257,,
13105R,BISC-102,20231,Lab,12,20,ZHS,257,,
13200R,BISC-103,20231,Lecture,49,72,THH,208,,
13201R,BISC-103,20231,Lab,9,18,ZHS,359,,
13202R,BISC-103,20231,Lab,12,18,ZHS,359,,
13203R,BISC-103,20231,Lab,18,18,ZHS,359,,
13204R,BISC-103,20231,Lab,10,18,ZHS,359,,
13108D,BISC-108,20231,Lecture-Lab,2,10,OFFICE,,,
13109D,BISC-109,20231,Lecture-Lab,4,10,OFFICE,,,
13001R,BISC-110,20231,Lecture,108,108,ZHS,159,,
13002R,BISC-110,20231,Discussion,18,18,LVL,3Y,,
13428R,BISC-110,20231,Discussion,18,18,GFS,222,,
13429R,BISC-110,20231,Discussion,18,18,DMC,154,,
13437R,BISC-110,20231,Discussion,18,18,KAP,134,,
13438R,BISC-110,20231,Discussion,18,18,VHE,214,,
13439R,BISC-110,20231,Discussion,18,18,DMC,155,,
13115R,BISC-115,20231,Lecture,119,120,THH,301,,
13116R,BISC-115,20231,Lab,20,20,ZHS,469,,
13118R,BISC-115,20231,Lab,20,20,ZHS,469,,
13119R,BISC-115,20231,Lab,20,20,ZHS,469,,
13122R,BISC-115,20231,Lab,19,20,ZHS,469,,
13123R,BISC-115,20231,Lab,20,20,ZHS,469,,
13124R,BISC-115,20231,Lab,20,20,ZHS,469,,
13003R,BISC-120,20231,Lecture,111,120,ZHS,159,,
13004R,BISC-120,20231,Lab,19,20,ZHS,365,,
13005R,BISC-120,20231,Lab,19,20,ZHS,365,,
13006R,BISC-120,20231,Lab,18,20,ZHS,365,,
13008R,BISC-120,20231,Lab,20,20,ZHS,365,,
13010R,BISC-120,20231,Lab,16,20,ZHS,365,,
13027R,BISC-120,20231,Lab,19,20,ZHS,365,,
13007R,BISC-150,20231,Lecture,9,32,ZHS,252,,
13215D,BISC-150,20231,Lab,4,16,ZHS,458,,
13217D,BISC-150,20231,Lab,5,16,ZHS,458,,
13218D,BISC-150,20231,Lab,0,1,ZHS,458,,
13400R,BISC-180,20231,Lecture,35,60,ZHS,352,,
13401R,BISC-180,20231,Lab,17,20,ZHS,257,,
13402R,BISC-180,20231,Lab,7,20,ZHS,257,,
13403R,BISC-180,20231,Lab,11,20,ZHS,257,,
13009R,BISC-194,20231,Lecture,91,100,ONLINE,,,
13199R,BISC-199,20231,Lecture,132,144,THH,301,,
13011R,BISC-220,20231,Lecture,83,170,THH,101,,
13012R,BISC-220,20231,Lecture,213,250,THH,101,,
13022R,BISC-220,20231,Lecture,77,250,THH,101,,
13028R,BISC-220,20231,Lecture,242,250,SAL,101,,
13120R,BISC-220,20231,Quiz,603,900,OFFICE,,,
13140R,BISC-220,20231,Lab,16,18,ZHS,361,,
13141R,BISC-220,20231,Lab,8,20,ZHS,363,,
13142R,BISC-220,20231,Lab,9,20,ZHS,365,,
13143D,BISC-220,20231,Lab,5,17,ZHS,361,,
13144R,BISC-220,20231,Lab,5,20,ZHS,363,,
13146R,BISC-220,20231,Lab,20,20,ZHS,361,,
13147R,BISC-220,20231,Lab,18,20,ZHS,363,,
13148R,BISC-220,20231,Lab,17,20,ZHS,365,,
13149R,BISC-220,20231,Lab,19,20,ZHS,361,,
13150R,BISC-220,20231,Lab,20,20,ZHS,363,,
13151R,BISC-220,20231,Lab,19,20,ZHS,365,,
13152R,BISC-220,20231,Lab,20,20,ZHS,361,,
13153R,BISC-220,20231,Lab,20,20,ZHS,363,,
13155R,BISC-220,20231,Lab,18,20,ZHS,361,,
13156R,BISC-220,20231,Lab,19,20,ZHS,363,,
13157R,BISC-220,20231,Lab,15,16,ZHS,369,,
13158R,BISC-220,20231,Lab,20,20,ZHS,361,,
13159R,BISC-220,20231,Lab,20,20,ZHS,363,,
13160R,BISC-220,20231,Lab,19,20,ZHS,365,,
13161R,BISC-220,20231,Lab,20,20,ZHS,361,,
13162R,BISC-220,20231,Lab,19,20,ZHS,363,,
13163R,BISC-220,20231,Lab,19,20,ZHS,365,,
13164R,BISC-220,20231,Lab,18,20,ZHS,361,,
13165R,BISC-220,20231,Lab,19,20,ZHS,363,,
13168R,BISC-220,20231,Lab,19,20,ZHS,361,,
13169R,BISC-220,20231,Lab,16,20,ZHS,363,,
13170R,BISC-220,20231,Lab,20,20,ZHS,365,,
13171R,BISC-220,20231,Lab,20,20,ZHS,361,,
13172R,BISC-220,20231,Lab,18,20,ZHS,363,,
13173R,BISC-220,20231,Lab,19,20,ZHS,365,,
13174R,BISC-220,20231,Lab,18,20,ZHS,361,,
13175R,BISC-220,20231,Lab,19,20,ZHS,363,,
13176R,BISC-220,20231,Lab,14,16,ZHS,369,,
13177R,BISC-220,20231,Lab,18,20,ZHS,361,,
13178R,BISC-220,20231,Lab,18,20,ZHS,363,,
13179R,BISC-220,20231,Lab,14,16,ZHS,369,,
13013D,BISC-221,20231,Lecture,50,60,ZHS,252,,
13191R,BISC-221,20231,Lab,4,12,ZHS,369,,
13192R,BISC-221,20231,Lab,16,16,ZHS,369,,
13193R,BISC-221,20231,Lab,10,10,ZHS,369,,
13194R,BISC-221,20231,Lab,10,10,ZHS,369,,
13195R,BISC-221,20231,Lab,10,14,ZHS,369,,
13014R,BISC-230,20231,Lecture,33,36,DMC,258,,
13251R,BISC-230,20231,Lab,10,12,ZHS,258,,
13253R,BISC-230,20231,Lab,11,12,ZHS,258,,
13257R,BISC-230,20231,Lab,12,12,ZHS,258,,
13016D,BISC-290,20231,Lecture-Lab,1,10,OFFICE,,,2
13017R,BISC-300,20231,Lecture,30,36,ZHS,163,,
13272D,BISC-300,20231,Lab,15,18,ZHS,472,,
13273D,BISC-300,20231,Lab,15,18,ZHS,472,,
13018R,BISC-307,20231,Lecture,69,72,ONLINE,,,
13281R,BISC-307,20231,Lab,16,18,ZHS,372,,
13284R,BISC-307,20231,Lab,18,18,ZHS,372,,
13286R,BISC-307,20231,Lab,17,18,ZHS,372,,
13289R,BISC-307,20231,Lab,18,18,ZHS,372,,
13522R,BISC-312,20231,Lecture,156,170,THH,301,,
13523R,BISC-312,20231,Lecture,154,170,THH,301,,
13034R,BISC-313,20231,Lecture,19,32,ZHS,163,,
13326R,BISC-313,20231,Lab,11,16,ZHS,458,,
13328R,BISC-313,20231,Lab,8,16,ZHS,458,,
13021R,BISC-321,20231,Lecture,66,75,ZHS,252,,
13023R,BISC-330,20231,Lecture,50,215,THH,101,,
13024R,BISC-330,20231,Lecture,55,217,THH,101,,
13310R,BISC-330,20231,Lab,18,18,ZHS,357,,
13313R,BISC-330,20231,Lab,18,18,ZHS,357,,
13317R,BISC-330,20231,Lab,17,18,ZHS,357,,
13319R,BISC-330,20231,Lab,18,18,ZHS,357,,
13321R,BISC-330,20231,Lab,18,18,ZHS,357,,
13329R,BISC-330,20231,Lab,16,18,ZHS,357,,
13121R,BISC-330,20231,Quiz,103,482,THH,101,,
13363R,BISC-363,20231,Lecture,15,25,VHE,214,,
13364R,BISC-363,20231,Lab,15,25,OFFICE,,,
13372R,BISC-372,20231,Lecture,10,12,HNB,107,,
13373R,BISC-372,20231,Discussion,10,12,KAP,150,,
13407R,BISC-407,20231,Lecture,91,120,ZHS,159,,
13413R,BISC-407,20231,Discussion,21,21,DMC,261,,
13415R,BISC-407,20231,Discussion,10,20,HNB,100,,
13416R,BISC-407,20231,Discussion,19,20,HNB,100,,
13417R,BISC-407,20231,Discussion,11,20,HNB,107,,
13418R,BISC-407,20231,Discussion,18,20,DMC,207,,
13419R,BISC-407,20231,Discussion,12,20,LVL,13,,
13408R,BISC-408,20231,Lecture,9,40,HNB,120,,
13409R,BISC-408,20231,Discussion,9,20,OFFICE,,,
13030R,BISC-410,20231,Lecture-Discussion,19,20,RRI,301,,
13414D,BISC-414,20231,Lecture,15,19,OFFICE,,,
13423D,BISC-423,20231,Lecture,31,31,RRI,101,,
13424R,BISC-424,20231,Lecture,39,40,HNB,100,,
13427R,BISC-427,20231,Lecture,20,30,ZHS,360,,
13431D,BISC-431,20231,Lecture,10,16,OFFICE,,,
13432R,BISC-431,20231,Lab,10,16,OFFICE,,,
13435R,BISC-435,20231,Lecture,29,36,ZHS,163,,
13436R,BISC-435,20231,Discussion,29,36,KAP,146,,
13445D,BISC-445,20231,Lecture,0,0,TBA,,,
13446R,BISC-445,20231,Lab,0,0,TBA,,,
13457D,BISC-457,20231,Lecture,14,16,OFFICE,,,
13458R,BISC-457,20231,Lab,14,16,OFFICE,,,
13463D,BISC-461,20231,Lecture,4,12,,,Molecular and Cellular Structural Biology,
13464D,BISC-461,20231,Lecture,2,12,RRI,221,Biotechnology and Chemical Biology in Modern Biomedical Research,
13025R,BISC-469,20231,Lecture,24,30,ZHS,252,,
13354D,BISC-469,20231,Lab,15,16,ZHS,469,,
13355R,BISC-469,20231,Lab,9,15,ZHS,469,,
13480R,BISC-480,20231,Lecture,15,19,RRI,221,,
13481R,BISC-480,20231,Lab,15,19,ZHS,460,,
13483R,BISC-483,20231,Lecture,16,19,AHF,259,,
13485R,BISC-485,20231,Lecture,7,14,RRI,321,,
13490D,BISC-490,20231,Lecture,24,50,OFFICE,,,2
13491D,BISC-491,20231,Lecture,13,19,RRI,301,,
13492R,BISC-491,20231,Lab,13,19,OFFICE,,,
13493D,BISC-493,20231,Lecture,14,20,RRI,221,,
13494D,BISC-494,20231,Lecture,16,16,RRI,221,,
13498R,BISC-499,20231,Lecture,7,19,AHF,259,Ecology and Biodiversity,
13499R,BISC-499,20231,Lab,7,19,ZHS,257,Ecology and Biodiversity,
13500D,BISC-502B,20231,Lecture-Discussion,19,29,RRI,301,,
13504D,BISC-504,20231,Lecture-Lab,10,20,OFFICE,,,3
13529D,BISC-529,20231,Lecture,18,24,OFFICE,,,
13530D,BISC-530,20231,Lecture,7,10,AHF,259,,
13542D,BISC-542,20231,Lecture,17,30,RRI,101,,
13505D,BISC-544,20231,Lecture,27,27,OFFICE,,,2
13506D,BISC-544,20231,Lecture,1,15,OFFICE,,,2
13549D,BISC-549,20231,Lecture,4,12,OFFICE,,,
13584D,BISC-584,20231,Lecture,12,19,AHF,259,,
13585D,BISC-585,20231,Lecture,9,19,AHF,259,,
13590D,BISC-590,20231,Lecture,1,30,OFFICE,,,
13593D,BISC-593,20231,Lecture,18,21,HNB,107,,
13596D,BISC-596,20231,Lecture,0,10,OFFICE,,,1
13599D,BISC-599,20231,Lecture,9,12,,,Advanced Seminar in Symbiosis,2
13790D,BISC-790,20231,Lecture,70,200,OFFICE,,,
13792D,BISC-794A,20231,Lecture,19,40,OFFICE,,,
13794D,BISC-794B,20231,Lecture,8,40,OFFICE,,,
13796D,BISC-794C,20231,Lecture,9,40,OFFICE,,,
13798D,BISC-794D,20231,Lecture,10,40,OFFICE,,,
13799D,BISC-794Z,20231,Lecture,29,50,OFFICE,,,
17200D,CHEM-050,20231,Lecture,10,30,SGM,226,,
17204D,CHEM-102,20231,Lecture,17,22,KAP,137,,
17206R,CHEM-102,20231,Discussion,17,22,KAP,163,,
17218R,CHEM-105A,20231,Lecture,218,240,SGM,123,,
17220R,CHEM-105A,20231,Quiz,218,240,SGM,123,,
17224D,CHEM-105A,20231,Lab,14,15,SGM,133A/B,,
17226D,CHEM-105A,20231,Lab,15,17,SGM,133A/B,,
17228D,CHEM-105A,20231,Lab,13,17,SGM,136A/B,,
17230D,CHEM-105A,20231,Lab,14,15,SGM,136A/B,,
17234D,CHEM-105A,20231,Lab,16,16,SGM,133A/B,,
17236D,CHEM-105A,20231,Lab,14,16,SGM,133A/B,,
17238D,CHEM-105A,20231,Lab,18,20,SGM,133A/B,,
17240D,CHEM-105A,20231,Lab,17,18,SGM,133A/B,,
17242D,CHEM-105A,20231,Lab,17,18,SGM,133A/B,,
17244D,CHEM-105A,20231,Lab,16,20,SGM,136A/B,,
