DEP_ID,SCHL_CODE,DEP_NAME
MPVA,MUS,Performance (Vocal Arts)
MPWP,MUS,Performance (Winds and Percussion)
MUSC,MUS,Music
SCOR,MUS,Screen Scoring
NURS,NURS,Nursing
OT,OCST,Occupational Science and Occupational Therapy
BPMK,PHAR,Biopharmaceutical Marketing
BPSI,PHAR,Biopharmaceutical Sciences
CXPT,PHAR,Clinical and Experimental Therapeutics
HCDA,PHAR,Healthcare Decision Analysis
MPTX,PHAR,Molecular Pharmacology and Toxicology
PHRD,PHAR,Pharmacy
PMEP,PHAR,Pharmaceutical Economics and Policy
PSCI,PHAR,Pharmaceutical Sciences
RSCI,PHAR,Regulatory Science
RXRS,PHAR,Pharmaceutical and Regulatory Science
BKN,PHAR,Biokinesiology
PT,PHAR,Physical Therapy
AEST,PPDP,Aerospace Studies
HMGT,PPDP,Health Care Management
MS,PPDP,Military Science
NAUT,PPDP,Nautical Science
NSC,PPDP,Naval Science
PPD,PPDP,"Policy, Planning and Development"
PPDE,PPDP,"Policy, Planning and Development - Expanded"
PLUS,PPDP,Urban and Regional Planning
RED,PPDP,Real Estate Development
SWKC,SWDP,On Campus and Hybrid courses
SWKO,SWDP,Virtual Academic Center
