SCT_ID,CRS_UID,SEM_ID,SCT_TYPE,SCT_REG,SCT_SEATS,SCT_BUILD,SCT_ROOM,SCT_TITLE,SCT_UNITS
34414D,0,20231,Lecture,8,12,DMC,255,,
34456D,0,20231,Lecture,17,30,OFFCAMPUS,,,
34423D,0,20231,Lecture,13,19,DMC,205,,
34424D,0,20231,Lecture,14,19,DMC,106,,
34426D,0,20231,Lecture,10,19,DMC,106,,
34428D,0,20231,Lecture,12,19,THH,115,,
34457D,0,20231,Lecture,18,30,OFFCAMPUS,,,
34429D,0,20231,Lecture,7,10,THH,107,,
34430D,0,20231,Lecture,7,16,THH,112,,
34458D,0,20231,Lecture,9,16,OFFCAMPUS,,,
34435D,0,20231,Lecture-Discussion,23,25,DMC,258,,
34442D,0,20231,Lecture,9,12,SOS,B43,,
34475D,0,20231,Lecture,1,10,OFFICE,,,
34499D,0,20231,Lecture,0,2,OFFICE,,,
38200R,0,20231,Lecture,98,101,WPH,B27,,
38201R,0,20231,Discussion,25,25,WPH,203,,
38202R,0,20231,Discussion,24,26,DMC,261,,
38203R,0,20231,Discussion,25,25,SOS,B37,,
38204R,0,20231,Discussion,24,25,DMC,203,,
38260R,0,20231,Lecture,30,30,DMC,100,,
38210R,0,20231,Discussion,5,25,WPH,103,,
38212R,0,20231,Discussion,23,25,THH,108,,
38206D,0,20231,Lecture,114,120,THH,102,,
38207R,0,20231,Discussion,24,25,DMC,158,,
38208R,0,20231,Discussion,19,25,THH,217,,
38209R,0,20231,Discussion,20,25,WPH,103,,
38215R,0,20231,Discussion,23,25,DMC,203,,
38261R,0,20231,Lecture,44,45,DMC,100,,
38222R,0,20231,Lecture,45,45,THH,114,,
38225R,0,20231,Lecture,25,25,THH,217,,
38250R,0,20231,Lecture,4,25,DMC,257,,
38220R,0,20231,Lecture,0,10,TBA,,,2
38219D,0,20231,Lecture,1,5,OFFICE,,,
38221R,0,20231,Lecture,0,5,TBA,,,2
20000R,0,20231,Lecture,6,20,DMC,160,,
20001R,0,20231,Lecture,9,25,DMC,160,,
20002R,0,20231,Lecture,7,25,WPH,101,,
20010R,0,20231,Lecture,4,10,THH,221,,
20011R,0,20231,Lecture,2,8,OFFICE,,,
38801R,0,20231,Lecture,11,80,WPH,B27,,
38804R,0,20231,Lab,1,20,GFS,217,,
38805R,0,20231,Lab,4,20,VHE,214,,
38808R,0,20231,Lab,5,20,KAP,163,,
38809R,0,20231,Lab,0,20,OFFICE,,,
38812D,0,20231,Lecture,117,122,GFS,106,,
38813R,0,20231,Discussion,20,20,GFS,114,,
38814R,0,20231,Discussion,21,21,VHE,210,,
38815R,0,20231,Discussion,17,20,VHE,214,,
38816R,0,20231,Discussion,18,20,GFS,113,,
38817R,0,20231,Discussion,20,20,KAP,145,,
38819R,0,20231,Discussion,21,21,VHE,210,,
38837R,0,20231,Lecture,114,120,GFS,106,,
38844R,0,20231,Discussion,20,20,GFS,112,,
38846R,0,20231,Discussion,19,20,KAP,167,,
38848R,0,20231,Discussion,20,20,KAP,137,,
38850R,0,20231,Discussion,17,20,KAP,141,,
38932R,0,20231,Discussion,19,20,GFS,212,,
38933R,0,20231,Discussion,19,20,GFS,210,,
38818D,0,20231,Lecture,47,50,ZHS,163,,
38904R,0,20231,Discussion,22,25,LVL,13,,
38905R,0,20231,Discussion,25,25,LVL,13,,
38843D,0,20231,Lecture,16,25,GFS,222,,
38855R,0,20231,Lecture,5,20,OFFICE,,,
38861D,0,20231,Lecture,0,0,,,,
38873D,0,20231,Lecture,8,25,GFS,104,,
38876R,0,20231,Lecture,23,25,DMC,258,,
38881D,0,20231,Lecture,5,15,OFFICE,,,2
38883D,0,20231,Lecture,5,15,OFFICE,,,
38917D,0,20231,Lecture,4,15,THH,109,,
38919D,0,20231,Lecture,2,15,SOS,B52,,
38953D,0,20231,Lecture,13,15,OFFICE,,,
38957D,0,20231,Lecture,2,15,OFFICE,,,
38961D,0,20231,Lecture,5,15,SOS,B50,,
38963D,0,20231,Lecture,0,20,OFFICE,,,
38965D,0,20231,Lecture,5,20,OFFICE,,,
38966D,0,20231,Lecture,0,15,OFFICE,,,
38872D,0,20231,Lecture,3,15,KAP,150,,
38973D,0,20231,Lecture,6,20,OFFICE,,,
38993D,0,20231,Lecture,0,15,OFFICE,,,
38995D,0,20231,Lecture,2,15,TBA,,,
38996D,0,20231,Lecture,2,15,TBA,,,
38997D,0,20231,Lecture,1,15,OFFICE,,,
38998D,0,20231,Lecture,1,25,OFFICE,,,
38999D,0,20231,Lecture,1,15,OFFICE,,,
39404D,0,20231,Lecture,34,49,ZHS,163,,
39405D,0,20231,Discussion,11,25,DMC,161,,
39406D,0,20231,Discussion,23,24,DMC,161,,
39985D,0,20231,Lecture,31,49,DMC,152,,
39986D,0,20231,Discussion,9,25,DMC,160,,
39987D,0,20231,Discussion,22,24,DMC,105,,
39989D,0,20231,Lecture,19,49,SGM,601,,
39990D,0,20231,Discussion,9,25,DMC,206,,
39991D,0,20231,Discussion,10,24,DMC,155,,
39410D,0,20231,Lecture,37,49,DMC,102,,
39411D,0,20231,Discussion,14,25,SOS,B48,,
39412D,0,20231,Discussion,23,24,SOS,B48,,
39414D,0,20231,Lecture,37,49,DMC,102,,
39415D,0,20231,Discussion,18,25,DMC,109,,
39416D,0,20231,Discussion,19,24,DMC,106,,
39422D,0,20231,Lecture,39,49,ZHS,163,,
39423D,0,20231,Discussion,20,25,GFS,108,,
39424D,0,20231,Discussion,19,24,GFS,108,,
39426D,0,20231,Lecture,45,49,ZHS,163,,
39427D,0,20231,Discussion,21,26,DMC,209,,
39428D,0,20231,Discussion,24,24,THH,215,,
39430D,0,20231,Lecture,43,49,SGM,601,,
39431D,0,20231,Discussion,21,25,KAP,137,,
39432D,0,20231,Discussion,22,24,KAP,134,,
39434D,0,20231,Lecture,43,49,KAP,144,,
39435D,0,20231,Discussion,21,25,THH,121,,
39436D,0,20231,Discussion,22,24,THH,121,,
39437D,0,20231,Lecture,44,49,GFS,118,,
39438D,0,20231,Discussion,22,25,SOS,B47,,
39439D,0,20231,Discussion,22,24,SOS,B37,,
39440D,0,20231,Lecture,46,49,DMC,102,,
39441D,0,20231,Discussion,25,25,DMC,105,,
39442D,0,20231,Discussion,21,24,DMC,105,,
39443D,0,20231,Lecture,43,50,DMC,102,,
39444D,0,20231,Discussion,23,26,DMC,201,,
39445D,0,20231,Discussion,20,24,DMC,105,,
39446D,0,20231,Lecture,45,49,KAP,144,,
39447D,0,20231,Discussion,23,25,DMC,257,,
39448D,0,20231,Discussion,22,24,DMC,257,,
39450D,0,20231,Lecture,42,49,DMC,102,,
39451D,0,20231,Discussion,23,25,LVL,16,,
39452D,0,20231,Discussion,19,24,DMC,160,,
39453D,0,20231,Lecture,26,49,SOS,B44,,
39454D,0,20231,Discussion,20,25,SOS,B41,,
39455D,0,20231,Discussion,6,24,SOS,B41,,
39461D,0,20231,Lecture,48,49,KAP,146,,
39462D,0,20231,Discussion,25,25,GFS,213,,
39463D,0,20231,Discussion,23,24,GFS,104,,
39464D,0,20231,Lecture,30,49,KAP,156,,
39465D,0,20231,Discussion,11,25,DMC,206,,
39466D,0,20231,Discussion,19,24,DMC,111,,
39468D,0,20231,Lecture,48,49,MHP,B7B,,
39469D,0,20231,Discussion,24,25,DMC,161,,
39470D,0,20231,Discussion,24,24,DMC,257,,
39472D,0,20231,Lecture,48,49,GFS,101,,
39473D,0,20231,Discussion,24,25,DMC,109,,
39474D,0,20231,Discussion,24,24,DMC,106,,
39476D,0,20231,Lecture,45,49,GFS,116,,
39477D,0,20231,Discussion,23,25,DMC,260,,
39478D,0,20231,Discussion,22,24,DMC,206,,
39480D,0,20231,Lecture,44,49,KAP,144,,
39481D,0,20231,Discussion,23,25,DMC,109,,
39482D,0,20231,Discussion,21,24,DMC,261,,
39484D,0,20231,Lecture,19,25,ZHS,163,,
39485D,0,20231,Discussion,0,0,,,,
39486D,0,20231,Discussion,17,25,DMC,161,,
39487D,0,20231,Lecture,42,49,GFS,116,,
39488D,0,20231,Discussion,21,25,SGM,226,,
39489D,0,20231,Discussion,21,24,SGM,226,,
39505D,0,20231,Lecture,35,49,KAP,156,,
39523D,0,20231,Lecture,24,49,DMC,100,,
39524D,0,20231,Discussion,12,25,DMC,200,,
39525D,0,20231,Discussion,12,24,DMC,200,,
39530D,0,20231,Lecture,26,49,MHP,B7B,,
39531D,0,20231,Discussion,10,25,DMC,209,,
39532D,0,20231,Discussion,16,24,DMC,206,,
39534D,0,20231,Lecture,48,49,SOS,B44,,
39535D,0,20231,Discussion,25,25,WPH,205,,
39536D,0,20231,Discussion,23,24,WPH,205,,
39550D,0,20231,Lecture,46,49,SOS,B44,,
39551D,0,20231,Discussion,23,25,WPH,205,,
39552D,0,20231,Discussion,23,24,WPH,205,,
39554D,0,20231,Lecture,45,49,KAP,156,,
39555D,0,20231,Discussion,23,25,DMC,209,,
39556D,0,20231,Discussion,22,24,DMC,209,,
39557D,0,20231,Lecture,48,49,DMC,152,,
39558D,0,20231,Discussion,25,25,DMC,156,,
39559D,0,20231,Discussion,23,24,DMC,205,,
39572D,0,20231,Lecture,23,49,THH,114,,
39573D,0,20231,Discussion,14,25,DMC,256,,
39574D,0,20231,Discussion,9,24,GFS,109,,
39575D,0,20231,Lecture,44,49,SOS,B44,,
39576D,0,20231,Discussion,20,25,THH,215,,
39577D,0,20231,Discussion,24,24,THH,215,,
39579D,0,20231,Lecture,9,25,THH,114,,
39580D,0,20231,Discussion,0,0,,,,
39581D,0,20231,Discussion,9,24,KAP,164,,
39583D,0,20231,Lecture,45,49,THH,102,,
39584D,0,20231,Discussion,23,25,THH,B9,,
39585D,0,20231,Discussion,22,24,THH,B9,,
39587D,0,20231,Lecture,21,49,KAP,156,,
39588D,0,20231,Discussion,3,25,THH,B9,,
39589D,0,20231,Discussion,18,24,THH,214,,
39591D,0,20231,Lecture,0,0,,,,
39592D,0,20231,Discussion,0,0,,,,
39593D,0,20231,Discussion,0,0,,,,
39560D,0,20231,Lecture,34,49,KAP,146,,
39561D,0,20231,Discussion,20,25,VHE,210,,
39562D,0,20231,Discussion,14,24,VHE,210,,
39564D,0,20231,Lecture,25,49,ZHS,352,,
39565D,0,20231,Discussion,10,25,GFS,109,,
39566D,0,20231,Discussion,15,24,GFS,109,,
39595D,0,20231,Lecture,46,49,DMC,152,,
39596D,0,20231,Discussion,25,25,DMC,261,,
39597D,0,20231,Discussion,21,24,DMC,106,,
39598D,0,20231,Lecture,45,49,WPH,B28,,
39599D,0,20231,Discussion,22,25,KAP,165,,
39600D,0,20231,Discussion,23,24,KAP,145,,
39526D,0,20231,Lecture,17,49,KAP,156,,
39527D,0,20231,Discussion,14,25,THH,B9,,
39528D,0,20231,Discussion,3,24,THH,B9,,
39601D,0,20231,Lecture,21,49,LVL,16,,
39602D,0,20231,Discussion,13,25,WPH,103,,
39603D,0,20231,Discussion,8,24,WPH,103,,
39605D,0,20231,Lecture,49,49,SGM,601,,
39606D,0,20231,Discussion,25,25,WPH,203,,
39607D,0,20231,Discussion,24,25,WPH,203,,
39609D,0,20231,Lecture,49,49,SGM,601,,
39610D,0,20231,Discussion,25,25,GFS,222,,
39611D,0,20231,Discussion,24,24,KAP,144,,
39613D,0,20231,Lecture,26,49,WPH,B28,,
39614D,0,20231,Discussion,7,25,DMC,210,,
39615D,0,20231,Discussion,19,24,DMC,210,,
39568D,0,20231,Lecture,10,49,DMC,152,,
39569D,0,20231,Discussion,6,25,DMC,111,,
39570D,0,20231,Discussion,4,24,DMC,111,,
39639D,0,20231,Lecture,24,25,KAP,167,,
39640D,0,20231,Discussion,24,25,VHE,206,,
39620D,0,20231,Lecture,20,30,KAP,140,,
39621D,0,20231,Discussion,20,30,DMC,200,,
39623D,0,20231,Lecture,7,20,KAP,427,,
39975D,0,20231,Lecture,46,49,DMC,152,,
39976D,0,20231,Discussion,24,25,DMC,102,,
39977D,0,20231,Discussion,22,24,DMC,102,,
39625D,0,20231,Lecture,45,49,DMC,156,,
39626D,0,20231,Discussion,21,25,DMC,160,,
39627D,0,20231,Discussion,24,24,DMC,258,,
39628D,0,20231,Lecture,15,49,SGM,601,,
39629D,0,20231,Discussion,7,25,KAP,137,,
39630D,0,20231,Discussion,8,24,DMC,209,,
39981D,0,20231,Lecture,28,49,DMC,150,,
39982D,0,20231,Discussion,14,25,THH,113,,
39983D,0,20231,Discussion,14,24,DMC,106,,
39992D,0,20231,Lecture,42,49,DMC,150,,
39993D,0,20231,Discussion,22,25,GFS,213,,
39994D,0,20231,Discussion,20,24,GFS,213,,
39631D,0,20231,Lecture,28,49,DMC,100,,
39632D,0,20231,Discussion,22,25,SOS,B37,,
39633D,0,20231,Discussion,6,24,SOS,B37,,
39635D,0,20231,Lecture,48,49,DMC,100,,
39636D,0,20231,Discussion,25,25,SOS,B37,,
39637D,0,20231,Discussion,23,24,WPH,107,,
39641D,0,20231,Lecture,17,30,DMC,211,,
39642D,0,20231,Discussion,17,30,GFS,222,,
39644D,0,20231,Lecture,34,35,WPH,107,,
39645D,0,20231,Discussion,34,36,VPDLL101,,,
39649D,0,20231,Lecture,17,35,KAP,147,,
39650D,0,20231,Discussion,17,35,KDC,236,,
39647D,0,20231,Lecture,16,30,KAP,140,,
39648D,0,20231,Lecture,36,36,KAP,147,,
39651D,0,20231,Lecture,36,36,KAP,147,,
39653D,0,20231,Lecture,34,37,KAP,148,,
39654D,0,20231,Lecture,33,35,KAP,148,,
39655D,0,20231,Lecture,16,20,KAP,137,,
39661D,0,20231,Lecture,0,0,,,,
39662D,0,20231,Discussion,0,0,,,,
39663D,0,20231,Discussion,0,0,,,,
39665D,0,20231,Lecture,19,40,KAP,414,,
39666D,0,20231,Discussion,12,20,SOS,B41,,
39667D,0,20231,Discussion,7,20,SOS,B41,,
39671D,0,20231,Lecture,17,17,DMC,260,,
39669D,0,20231,Lecture,40,46,KAP,144,,
39670D,0,20231,Lecture,28,35,KAP,147,,
39675D,0,20231,Lecture,18,35,KAP,145,,
39676D,0,20231,Discussion,18,35,DMC,210,,
39680D,0,20231,Lecture,15,30,KAP,140,,
39682D,0,20231,Lecture,16,30,DMC,211,,
39687D,0,20231,Lecture,1,15,OFFICE,,,
39692R,0,20231,Lecture,10,25,TBA,,,
39694R,0,20231,Lecture,0,0,,,,
39698R,0,20231,Lecture,9,20,KAP,138,,
39708R,0,20231,Lecture,13,20,KAP,134,,
39716R,0,20231,Lecture,7,15,SOS,B38,,
39724R,0,20231,Lecture,3,20,DMC,259,,
39726R,0,20231,Lecture,14,40,KAP,158,,
39727R,0,20231,Discussion,14,20,TBA,,,
39728R,0,20231,Discussion,0,20,TBA,,,
39734R,0,20231,Lecture,12,20,KAP,134,,
39740R,0,20231,Lecture,7,30,KAP,158,,
39741R,0,20231,Lecture,11,40,KAP,158,,
39757R,0,20231,Lecture,10,30,KAP,148,,
39756R,0,20231,Lecture,9,20,KAP,134,,
39760R,0,20231,Lecture,35,50,THH,114,,
39766R,0,20231,Lecture-Lab,4,25,DMC,252,,
39769R,0,20231,Lecture-Lab,13,30,KAP,163,,
39790R,0,20231,Lecture,4,15,KAP,113,,
39795R,0,20231,Lecture,7,20,KAP,134,,
39834D,0,20231,Lecture,5,20,OFFICE,,,1
39835D,0,20231,Lecture,0,20,OFFICE,,,1
39838R,0,20231,Lecture,3,10,OFFICE,,,
39839R,0,20231,Lecture,2,10,OFFICE,,,
39940R,0,20231,Lecture,6,10,OFFICE,,,
39941D,0,20231,Lecture,1,5,OFFICE,,,1
39943R,0,20231,Lecture,8,20,KAP,245,,
39945R,0,20231,Lecture,8,20,KAP,245,,
39944R,0,20231,Lecture,12,15,KAP,166,,
39946R,0,20231,Lecture,11,15,KAP,245,,
39948R,0,20231,Lecture,7,10,TBA,,,
39949D,0,20231,Lecture,0,10,TBA,,,
39950D,0,20231,Lecture,0,10,TBA,,,
39952D,0,20231,Lecture,0,10,TBA,,,
39951R,0,20231,Lecture,0,10,OFFICE,,,
39960D,0,20231,Lecture,11,20,OFFICE,,,
39961D,0,20231,Lecture,3,10,OFFICE,,,
39962D,0,20231,Lecture,3,10,OFFICE,,,
39963D,0,20231,Lecture,10,20,OFFICE,,,
39964D,0,20231,Lecture,8,10,OFFICE,,,
39965D,0,20231,Lecture,5,10,OFFICE,,,
42288D,0,20231,Lecture,18,30,ONLINE,,,2
42289D,0,20231,Lecture,35,35,ONLINE,,,2
42290D,0,20231,Lecture,2,15,OFFCAMPUS,,,2
42207R,0,20231,Lecture,7,25,WPH,B30,Personal Economics,
42210R,0,20231,Lecture,15,25,WPH,107,Doing Good--How to Start and Run a Successful Nonprofit Organization,
42211R,0,20231,Lecture,24,25,DMC,257,Managing the Work/Life Balance - A Blueprint for Vitality,
42212R,0,20231,Lecture,21,25,DMC,257,Basics of Raising Capital,
42213R,0,20231,Lecture,8,25,VHE,210,Careers in Contemporary Health Care,
42217R,0,20231,Lecture,12,25,DMC,161,Multicultural Health--Developing Your Cultural Competence Healthcare,
42222R,0,20231,Lecture,17,23,THH,121,Introduction to American Sign Language,
42225R,0,20231,Lecture,81,75,OFFICE,,,2
42291R,0,20231,Lecture,17,25,DMC,151,,
42235D,0,20231,Lecture,14,16,OFFICE,,,
42236D,0,20231,Lecture,14,17,OFFICE,,,
41550R,0,20231,Lecture,25,25,DMC,201,,
41519R,0,20231,Lecture,11,19,THH,119,The Arab-Israeli Conflict,
41535R,0,20231,Lecture,8,19,KAP,148,,
41558R,0,20231,Lecture,5,19,THH,113,,
41549D,0,20231,Lecture,0,1,TBA,,,2
47600D,0,20231,Lecture,21,40,OFFICE,,,2
47643D,0,20231,Lecture,14,16,HNB,120,,
47644D,0,20231,Lecture,11,15,HNB,120,,
47655D,0,20231,Lecture,19,50,,,,
47659D,0,20231,Lecture,34,35,,,,
47668D,0,20231,Lecture,0,5,OFFICE,,,1
47669D,0,20231,Lecture,0,5,OFFICE,,,1
47660D,0,20231,Lecture,55,100,OFFICE,,,
47670D,0,20231,Lecture,3,45,OFFICE,,,
47671D,0,20231,Lecture,11,45,OFFICE,,,
47672D,0,20231,Lecture,3,45,OFFICE,,,
47673D,0,20231,Lecture,5,45,OFFICE,,,
47674D,0,20231,Lecture,22,30,OFFICE,,,
48304D,0,20231,Lecture,0,20,OFFICE,,,
48306D,0,20231,Lecture,0,15,OFFICE,,,
48308D,0,20231,Lecture,0,15,OFFICE,,,
48310D,0,20231,Lecture,0,15,OFFICE,,,
48312D,0,20231,Lecture,3,20,OFFICE,,,
48314D,0,20231,Lecture,0,15,OFFICE,,,
48316D,0,20231,Lecture,0,15,OFFICE,,,
48318D,0,20231,Lecture,0,15,OFFICE,,,
48320D,0,20231,Lecture,0,15,OFFICE,,,
48322D,0,20231,Lecture,1,15,OFFICE,,,
49700R,0,20231,Lecture,19,19,PED,210,,
49701R,0,20231,Lecture,16,19,PED,210,,
49702R,0,20231,Lecture,18,19,PED,210,,
49703R,0,20231,Lecture,17,19,PED,210,,
49704D,0,20231,Lecture,17,21,PED,210,,
49705R,0,20231,Lecture,19,19,PED,210,,
49706R,0,20231,Lecture,19,19,PED,210,,
49707R,0,20231,Lecture,16,19,PED,210,,
49708R,0,20231,Lecture,18,19,PED,210,,
49709R,0,20231,Lecture,18,19,PED,210,,
49710D,0,20231,Lecture,18,20,PED,210,,
49711D,0,20231,Lecture,19,20,PED,210,,
49712R,0,20231,Lecture,19,19,PED,210,,
49713D,0,20231,Lecture,18,20,PED,210,,
49908R,0,20231,Lecture,18,19,PED,210,,
49910R,0,20231,Lecture,19,19,PED,210,,
49716R,0,20231,Lecture,18,19,PED,201,,
49717R,0,20231,Lecture,18,19,PED,201,,
49718R,0,20231,Lecture,16,19,PED,201,,
49719R,0,20231,Lecture,16,19,PED,201,,
49720R,0,20231,Lecture,17,19,PED,201,,
49721R,0,20231,Lecture,18,19,PED,201,,
49722R,0,20231,Lecture,15,19,PED,201,,
49723R,0,20231,Lecture,18,19,PED,201,,
49921R,0,20231,Lecture,13,19,PED,201,,
49920R,0,20231,Lecture,13,16,PED,201,,
49923R,0,20231,Lecture,18,19,PED,201,,
49728R,0,20231,Lecture,18,19,PED,210,,
49729R,0,20231,Lecture,17,19,PED,210,,
49731R,0,20231,Lecture,6,19,PED,210,,
49732R,0,20231,Lecture,17,19,PED,210,,
49734R,0,20231,Lecture,16,19,PED,210,,
49737R,0,20231,Lecture,16,19,PED,210,,
49739R,0,20231,Lecture,16,19,PED,210,,
49740R,0,20231,Lecture,16,19,PED,210,,
49742R,0,20231,Lecture,16,19,PED,210,,
49744R,0,20231,Lecture,17,19,PED,210,,
49746R,0,20231,Lecture,17,19,PED,210,,
49950D,0,20231,Lecture,20,20,PED,210,,
49951D,0,20231,Lecture,16,19,PED,210,,
49755D,0,20231,Lecture,25,31,WPH,206,,
50020R,0,20231,Lecture,25,25,DMC,109,,
50021R,0,20231,Lecture,25,25,SGM,226,,
50023R,0,20231,Lecture,21,25,SGM,226,,
50025R,0,20231,Lecture,19,19,THH,108,,
50026R,0,20231,Lecture,19,19,DMC,111,,
50027R,0,20231,Lecture,19,19,DMC,209,,
50030R,0,20231,Lecture,19,19,DMC,206,,
50031R,0,20231,Lecture,19,19,DMC,209,,
50032R,0,20231,Lecture,19,19,DMC,111,,
50033R,0,20231,Lecture,19,19,WPH,206,,
50034R,0,20231,Lecture,18,19,VPD,110,,
50035R,0,20231,Lecture,19,19,DMC,208,,
50036R,0,20231,Lecture,19,19,DMC,109,,
50037R,0,20231,Lecture,17,19,DMC,208,,
49760R,0,20231,Lecture,18,19,PED,210,,
49761R,0,20231,Lecture,15,19,PED,210,,
49762R,0,20231,Lecture,19,19,PED,210,,
49763R,0,20231,Lecture,18,19,PED,210,,
49764R,0,20231,Lecture,16,19,PED,210,,
49765R,0,20231,Lecture,17,19,PED,210,,
49766R,0,20231,Lecture,17,19,PED,210,,
49767D,0,20231,Lecture,19,20,PED,210,,
49768R,0,20231,Lecture,19,19,PED,210,,
49769R,0,20231,Lecture,14,19,PED,210,,
49770R,0,20231,Lecture,19,19,PED,210,,
49771R,0,20231,Lecture,16,19,PED,210,,
49772R,0,20231,Lecture,17,19,PED,210,,
49773R,0,20231,Lecture,17,19,PED,210,,
49965R,0,20231,Lecture,18,19,PED,210,,
49967D,0,20231,Lecture,17,19,PED,210,,
49970R,0,20231,Lecture,15,16,PED,210,,
49971R,0,20231,Lecture,12,16,PED,210,,
49979R,0,20231,Lecture,24,25,PED,210,,
49980R,0,20231,Lecture,24,25,PED,210,,
49981R,0,20231,Lecture,21,25,PED,210,,
49982R,0,20231,Lecture,21,25,PED,210,,
50050R,0,20231,Lecture,18,19,PED,210,,
50051R,0,20231,Lecture,18,19,PED,210,,
50052R,0,20231,Lecture,18,19,PED,210,,
50053R,0,20231,Lecture,18,19,PED,210,,
50054R,0,20231,Lecture,18,19,PED,210,,
50055D,0,20231,Lecture,20,20,PED,210,,
50056R,0,20231,Lecture,19,19,PED,210,,
50057R,0,20231,Lecture,20,20,PED,210,,
49776R,0,20231,Lecture,19,19,PED,210,,
49777R,0,20231,Lecture,17,19,PED,210,,
49750R,0,20231,Lecture,9,16,PED,201,,
49983D,0,20231,Lecture,14,15,PED,210,,
49984D,0,20231,Lecture,13,15,PED,210,,
49780R,0,20231,Lecture,14,19,PED,210,,
49781R,0,20231,Lecture,13,19,PED,210,,
49782R,0,20231,Lecture,16,19,PED,210,,
49811R,0,20231,Lecture,8,16,THH,113,,
49812R,0,20231,Lecture,11,16,WPH,107,,
49813R,0,20231,Lecture,16,16,THH,113,,
49988R,0,20231,Lecture,19,19,PED,210,,
49989R,0,20231,Lecture,19,19,PED,210,,
49790R,0,20231,Lecture,16,19,PED,210,,
49792R,0,20231,Lecture,17,19,PED,210,,
49991D,0,20231,Lecture,27,28,PED,210,,
49800R,0,20231,Lecture,19,19,PED,210,,
49801R,0,20231,Lecture,18,19,PED,210,,
49802R,0,20231,Lecture,17,19,PED,210,,
49803R,0,20231,Lecture,17,19,PED,210,,
49804D,0,20231,Lecture,19,20,PED,210,,
49805R,0,20231,Lecture,19,19,PED,210,,
49806D,0,20231,Lecture,18,20,PED,210,,
49881R,0,20231,Lecture,16,19,PED,210,,
49882R,0,20231,Lecture,17,19,PED,210,,
49884R,0,20231,Lecture,18,19,PED,210,,
49924R,0,20231,Lecture,15,19,PED,210,,
49925R,0,20231,Lecture,17,19,PED,210,,
49926D,0,20231,Lecture,16,20,PED,210,,
49821R,0,20231,Lecture,14,19,PED,200,,
49823R,0,20231,Lecture,16,19,PED,200,,
49825R,0,20231,Lecture,18,19,PED,200,,
49826R,0,20231,Lecture,19,19,PED,200,,
49828R,0,20231,Lecture,18,19,PED,200,,
49931R,0,20231,Lecture,13,16,PED,200,,
50010R,0,20231,Lecture,17,19,PED,210,,
50011R,0,20231,Lecture,17,19,PED,210,,
49848R,0,20231,Lecture,17,18,PED,210,,
49849R,0,20231,Lecture,15,18,PED,210,,
49850R,0,20231,Lecture,17,18,PED,210,,
49851R,0,20231,Lecture,16,18,PED,210,,
49852R,0,20231,Lecture,17,18,PED,210,,
49948R,0,20231,Lecture,14,18,PED,210,,
49859R,0,20231,Lecture,17,19,PED,210,,
49861R,0,20231,Lecture,19,19,PED,210,,
49958R,0,20231,Lecture,19,19,PED,210,,
49863R,0,20231,Lecture,22,25,DMC,209,,
49864R,0,20231,Lecture,24,25,DMC,209,,
49865R,0,20231,Lecture,25,25,DMC,258,,
49866D,0,20231,Lecture,25,26,DMC,206,,
49867D,0,20231,Lecture,26,26,DMC,155,,
49868D,0,20231,Lecture,23,26,THH,121,,
49869R,0,20231,Lecture,24,25,WPH,107,,
49870R,0,20231,Lecture,25,25,DMC,211,,
49972R,0,20231,Lecture,25,25,GFS,228,,
49974R,0,20231,Lecture,25,25,DMC,206,,
49975R,0,20231,Lecture,18,25,ZHS,360,,
49976R,0,20231,Lecture,4,25,THH,213,,
49973R,0,20231,Lecture,25,25,GFS,221,,
49814R,0,20231,Lecture,14,16,PED,210,,
49815D,0,20231,Lecture,18,19,PED,210,,
49890R,0,20231,Lecture,18,19,DMC,110,,
49892R,0,20231,Lecture,14,19,GFS,205,,
49929R,0,20231,Lecture,13,16,LVL,3B,,
49930R,0,20231,Lecture,11,16,DMC,104,,
50070D,0,20231,Lecture,10,100,JMC,103,,
50071D,0,20231,Lecture,5,100,JMC,103,,
50072D,0,20231,Lecture,9,100,JMC,103,,
50073D,0,20231,Lecture,0,50,JMC,103,,
50074D,0,20231,Lecture,10,100,JMC,103,,
50075D,0,20231,Lecture,4,51,JMC,103,,
50076D,0,20231,Lecture,31,100,JMC,103,,
50077D,0,20231,Lecture,1,100,JMC,103,,
50078D,0,20231,Lecture,29,50,JMC,103,,
50079D,0,20231,Lecture,5,100,JMC,103,,
50080D,0,20231,Lecture,15,102,JMC,103,,
50081D,0,20231,Lecture,6,50,JMC,103,,
50082D,0,20231,Lecture,8,50,JMC,103,,
50083D,0,20231,Lecture,4,30,JMC,103,,
50084D,0,20231,Lecture,1,100,JMC,103,,
50086D,0,20231,Lecture,0,30,JMC,103,,
50088D,0,20231,Lecture,13,50,JMC,103,,
50089D,0,20231,Lecture,8,50,JMC,103,,
50090D,0,20231,Lecture,0,30,STU,B3,,
50091D,0,20231,Lecture,0,30,STU,B6,,
50092D,0,20231,Lecture,0,30,JMC,103,,
50012D,0,20231,Lecture,11,15,OFFICE,,Yoga and Meditation Immersion,2
50013D,0,20231,Lecture,10,15,OFFICE,,Hatha and Kundalini Yoga in India,4
49345R,0,20231,Lecture,18,25,MHP,B7B,,
49346R,0,20231,Lecture,16,25,MHP,B7B,,
49374R,0,20231,Lecture,149,150,MHP,101,,
49375R,0,20231,Discussion,24,25,MHP,102,,
